Timestamp,Sensor1_Temperature,Sensor1_Humidity,Sensor2_Temperature,Sensor2_Humidity,Sensor3_Temperature,Sensor3_Humidity
2024-12-18 02:35:45,19,18,20.1,13.5,19.3,10
2024-12-18 02:35:46,19,18,20.1,13.5,19.3,10
2024-12-18 02:35:47,19,18,20.1,13.6,19.4,10
2024-12-18 02:35:48,19,18,20.1,13.6,19.4,10
2024-12-18 02:36:13,19,18,20.1,13.6,19.4,10
2024-12-18 02:36:14,19,18,20.1,13.5,19.5,10
2024-12-18 02:36:15,19,18,20.1,13.7,19.5,10
2024-12-18 02:36:16,19,18,20.1,13.6,19.6,10
2024-12-18 02:36:17,19,18,20.1,13.6,19.6,10
2024-12-18 02:36:18,19,18,20.2,13.7,19.6,10
2024-12-18 02:36:19,19,18,20.2,13.6,19.6,10
2024-12-18 02:36:20,19,18,20.2,13.6,19.6,10
2024-12-18 02:36:22,19,18,20.2,13.6,19.7,10
2024-12-18 02:36:23,19,18,20.2,13.7,19.8,10
2024-12-18 02:36:24,19,18,20.2,13.7,19.8,10
2024-12-18 02:36:25,19,18,20.2,13.6,19.8,10
2024-12-18 02:36:26,19,18,20.2,13.6,19.8,10
2024-12-18 02:36:27,19,18,20.3,13.5,19.8,10
2024-12-18 02:36:28,19,18,20.3,13.5,19.9,10
2024-12-18 02:36:29,19,18,20.3,13.5,19.9,10
2024-12-18 02:36:30,19,18,20.3,13.5,20,10
2024-12-18 02:36:31,19,18,20.4,13.5,20.3,10
2024-12-18 02:36:32,19,18,20.4,13.4,20.7,10
2024-12-18 02:36:33,19,18,20.4,13.4,21.3,10
2024-12-18 02:36:34,19,18,20.5,13.4,22.1,10
2024-12-18 02:36:35,19,18,20.5,13.4,23.3,10
2024-12-18 02:36:36,19,18,20.7,13.4,24.4,10
2024-12-18 02:36:37,19,18,20.8,13.4,25.4,10
2024-12-18 02:36:38,19,18,20.8,13.4,26.7,10
2024-12-18 02:36:39,19,18,21,13.4,28,10
2024-12-18 02:36:40,19,18,21.1,13.3,29.3,10
